"Category","Rating","Rating.Count","Size","DaysLastUpdate","ReleasedDays","AppNameLen","Installs"
"Game",4.1,5.51745289646471,4.44265125649032,729,816,20,10.0317928126891
"Lifestyle",3.8,2.56494935746154,1.66770682055808,1366,1538,23,8.68338536628031
"Lifestyle",3.8,1.94591014905531,1.88706964903238,288,622,23,8.21229713822977
"Lifestyle",4.4,5.98141421125448,2.16332302566054,56,1458,23,11.1677978786457
"Educational",3.5,2.83321334405622,1.98787434815435,1490,1560,20,8.2960476427647
"Lifestyle",3.7,2.70805020110221,3.71357206670431,441,1191,39,7.98718474823347
"Educational",4,1.94591014905531,2.56494935746154,505,898,29,6.04973345523196
"SocialMedia",4.4,2.07944154167984,2.01490302054226,313,355,12,5.97380961186926
"Educational",3,2.07944154167984,0.702106921931417,355,2506,28,7.86211221166275
"Entertainment",3.9,3.71357206670431,3.55534806148941,442,693,46,8.18618599422608
"Productivity",4.1,7.29776828253138,1.94591014905531,10,1012,42,12.1701138066759
"Lifestyle",3.8,1.94591014905531,1.41098697371026,552,767,19,7.82124208352356
"Lifestyle",3.1,3.17805383034795,1.62924053973028,874,1939,16,10.0959244430712
"Educational",4,2.94443897916644,2.39789527279837,1553,1553,19,7.56837926783652
"Lifestyle",4.1,2.484906649788,1.87180217690159,126,1415,23,8.66733584984596
"Educational",2.1,6.74875954749168,2.83321334405622,145,3006,8,11.8658895321146
"Educational",3.9,2.07944154167984,1.7227665977411,981,1073,22,8.08240225392624
"Lifestyle",4.6,2.39789527279837,3.71357206670431,1,609,12,5.4380793089232
"Educational",5,5.05624580534831,3.17805383034795,29,371,7,9.33741345453966
"Lifestyle",4.2,4.75359019110636,0.78845736036427,2226,2497,14,9.426741242423
"Educational",3.4,1.79175946922805,2.77258872223978,330,364,7,8.0870254706677
"Game",5,1.79175946922805,2.89037175789616,195,218,12,7.10332206252611
"Game",4,5.84932477994686,4.15888308335967,341,412,22,10.2544964748482
